,Disease,Year of Publication,Medication,Details,PMID,PubMed Link
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2021,Antineoplastic Agents,"Acute leukemias, classified as acute myeloid leukemia and acute lymphoblastic leukemia, represent the most prevalent hematologic tumors in adolescent and young adults. In recent years, new challenges have emerged in order to improve the clinical effectiveness of therapies already in use and reduce their side effects. In particular, in this scenario, metabolic reprogramming plays a key role in tumorigenesis and prognosis, and it contributes to the treatment outcome of acute leukemia. This review summarizes the latest findings regarding the most relevant metabolic pathways contributing to the continuous growth, redox homeostasis, and drug resistance of leukemia cells. We describe the main metabolic deregulations in acute leukemia and evidence vulnerabilities that could be exploited for targeted therapy.",34445444,https://pubmed.ncbi.nlm.nih.gov/34445444/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2021,"Amino Acids, Dietary Proteins, Asparaginase","Malignant cells often demonstrate a proliferative advantage when compared to non-malignant cells. However, the rapid growth and metabolism required for survival can also highlight vulnerabilities specific to these malignant cells. One such vulnerability exhibited by cancer is an increased demand for amino acids (AAs), which often results in a dependency on exogenous sources of AAs or requires upregulation of de novo synthesis. These metabolic alterations can be exploited by therapy, which aims to improve treatment outcome and decrease relapse and reoccurrence. One clinically utilised strategy targeting AA dependency is the use of asparaginase in the treatment of acute lymphoblastic leukaemia (ALL), which results in a depletion of exogenous asparagine and subsequent cancer cell death. Examples of other successful strategies include the exploitation of arginine deiminase and methioninase, nutrient restriction of methionine and the inhibition of glutaminase. In this review, we summarise these treatment strategies into three promising avenues: AA restriction, enzymatic depletion and inhibition of metabolism. This review provides an insight into the complexity of metabolism in cancer, whilst highlighting these three current research avenues that have support in both preclinical and clinical settings.",34292410,https://pubmed.ncbi.nlm.nih.gov/34292410/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2021,"Antibodies, Monoclonal, Antineoplastic Agents, Antineoplastic Agents, Immunological","Targeted therapies have emerged as innovative treatments for patients whose disease does not respond to conventional chemotherapy, and their use has widely expanded in the field of pediatric hematologic malignancies in the last decade. While they carry the promise of improved disease control and survival and are currently investigated in first-line treatment protocols for patients with poor prognostic markers, they are associated with a considerable incidence of specific toxicities, including cytokine-release syndrome, neurotoxicity, hepatotoxicity, nephrotoxicity, cardiotoxicity, endocrine adverse events, and infectious complications. Iatrogenic or secondary dysgammaglobulinemia is a main consequence of targeted therapies using monoclonal antibodies and other antibody-derived treatments that target specific antigens on lymphoid cells (blinatumomab, inotuzumab ozogamicin, rituximab), chimeric antigen receptor T cells, tyrosine kinase inhibitors (imatinib, dasatinib, nilotinib) and, to a lesser extent, checkpoint inhibitors (pembrolizumab, nivolumab). This review discusses the diagnosis and incidence of secondary or iatrogenic dysgammaglobulinemia in children treated with targeted therapies for leukemias and lymphomas, and options for monitoring and treatment.",34292515,https://pubmed.ncbi.nlm.nih.gov/34292515/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2021,"Antineoplastic Agents, Asparaginase","Asparaginase therapy is a vital agent in the treatment of acute lymphoblastic leukemia (ALL), with increasing evidence of its high importance in high-risk ALL populations. However, despite the clear clinical and biological benefits of asparaginase therapy, many patients experience toxicities. A well-known treatment-limiting toxicity is asparaginase-associated pancreatitis (AAP). If severe, it necessitates discontinuation of asparaginase therapy, which can lead to a higher risk of relapse in patients with ALL. New protocols for ALL therapy have increased overall total doses of asparaginase therapy in select high-risk populations and have incorporated longer half-life formulations of pegylated asparaginase. Treatment drug monitoring has also allowed assurance of adequate levels of asparagine depletion throughout treatment. It is currently unknown if these changes will increase rates of AAP. Interestingly, important pharmacogenomics data, such as single nucleotide polymorphisms, can identify patients at the highest risk for severe AAP. The incidence of AAP in recent trials, current pharmacogenomic data that could further our understanding of the disease, and the importance of cautiously re-exposing patients to further asparaginase treatment after an initial episode of AAP are discussed.",34351604,https://pubmed.ncbi.nlm.nih.gov/34351604/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2021,"Antineoplastic Agents, CXCL12 protein, human, CXCR4 protein, human, Chemokine CXCL12, Chemokines, Receptors, CXCR4","Acute lymphoblastic leukemia (ALL) is a hematological malignancy characterized by the malignant clonal expansion of lymphoid hematopoietic precursors. It is regulated by various signaling molecules such as cytokines and adhesion molecules in its microenvironment. Chemokines are chemotactic cytokines that regulate migration, positioning and interactions of cells. Many chemokine axes such as CXCL12/CXCR4 and CCL25/CCR9 have been proved to play important roles in leukemia microenvironment and further affect ALL outcomes. In this review, we summarize the chemokines that are involved in ALL progression and elaborate on their roles and mechanisms in leukemia cell proliferation, infiltration, drug resistance and disease relapse. We also discuss the potential of targeting chemokine axes for ALL treatments, since many related inhibitors have shown promising efficacy in preclinical trials, and some of them have entered clinical trials.",33743810,https://pubmed.ncbi.nlm.nih.gov/33743810/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,"Antibodies, Bispecific, Antineoplastic Agents",Acute lymphoblastic leukemia (ALL) among older adults continues to be associated with a dismal prognosis. Novel effective immunotherapies and targeted agents are expected to address unmet needs in adult ALL. This review has summarized recent evidence to determine whether these approaches can lead to the decreased use of chemotherapy among older adults with ALL and result in improved outcomes.,33762096,https://pubmed.ncbi.nlm.nih.gov/33762096/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,"Antineoplastic Agents, MYB protein, human, Protein Kinase Inhibitors, Proto-Oncogene Proteins c-myb, Fusion Proteins, bcr-abl, CDK6 protein, human, Cyclin-Dependent Kinase 6","Ph+ ALL is a poor-prognosis leukemia subtype driven by the <i>BCR-ABL1</i> oncogene, either the p190- or the p210-BCR/ABL isoform in a 70:30 ratio. Tyrosine Kinase inhibitors (TKIs) are the drugs of choice in the therapy of Ph+ ALL. In combination with standard chemotherapy, TKIs have markedly improved the outcome of Ph+ ALL, in particular if this treatment is followed by bone marrow transplantation. However, resistance to TKIs develops with high frequency, causing leukemia relapse that results in <5-year overall survival. Thus, new therapies are needed to address relapsed/TKI-resistant Ph+ ALL. We have shown that expression of cell cycle regulatory kinase CDK6, but not of the highly related CDK4 kinase, is required for the proliferation and survival of Ph+ ALL cells. Comparison of leukemia suppression induced by treatment with the clinically-approved dual CDK4/6 inhibitor palbociclib versus CDK6 silencing revealed that the latter treatment was markedly more effective, probably reflecting inhibition of CDK6 kinase-independent effects. Thus, we developed CDK4/6-targeted proteolysis-targeting chimeras (PROTACs) that preferentially degrade CDK6 over CDK4. One compound termed PROTAC YX-2-107, which degrades CDK6 by recruiting the Cereblon ubiquitin ligase, markedly suppressed leukemia burden in mice injected with de novo or TKI-resistant Ph+ ALL. The effect of PROTAC YX-2-107 was comparable or superior to that of palbociclib. The development of CDK6-selective PROTACs represents an effective strategy to exploit the ""CDK6 dependence"" of Ph+ ALL cells while sparing a high proportion of normal hematopoietic progenitors that depend on both CDK6 and CDK6 for their survival. In combination with other agents, CDK6-selective PROTACs may be valuable components of chemotherapy-free protocols for the therapy of Ph+ ALL and other CDK6-dependent hematological malignancies.",34573335,https://pubmed.ncbi.nlm.nih.gov/34573335/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,"Asparaginase, Antineoplastic Agents","The adoption of pediatric-inspired regimens in young adults with newly diagnosed acute lymphoblastic leukemia (ALL) has significantly improved their survival outcomes. Pediatric-inspired regimens in ALL rely profoundly on delivering adequate dosing of non-myelosuppressive drugs of which asparaginase, a bacterial derived agent, is a key component. Asparaginase therapy is associated with a spectrum of unique toxicities that are observed more frequently in adult patients compared to children with ALL, and this observation has contributed to the reluctance of adult oncologists to administer the drug to their patients. Understanding the breadth of asparaginase toxicity and the associated risk factors may help in preventing severe manifestations and allow safer treatment for adults with ALL. In this review, we will discuss the different formulations of asparaginase and the appropriate dosing in adults with ALL. We will further discuss the frequency and risk factors for individual toxicities of asparaginase along with strategies for their prevention and management.",36114134,https://pubmed.ncbi.nlm.nih.gov/36114134/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,"Antibodies, Monoclonal, Antineoplastic Agents, Antineoplastic Agents, Immunological, Rituximab","Appling personalized approach for achieving higher efficacy is one of the most important aspects of treatment. Moreover, we recommend that the wide use of these Mabs depends on designing further cost-effectiveness trials in this field.",35662114,https://pubmed.ncbi.nlm.nih.gov/35662114/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,Asparaginase,"Acute lymphoblastic leukemia (ALL) is a disease that affects immature lymphocytes in the blood and presents a high prevalence rate in children and adolescent young adult (AYA) populations (15-39 years). AYAs are a unique group who face a significant therapeutic disadvantage when treated with the adult regimen, as evident with lower remission rates, whereas the opposite is true in children. A recent study by EUROCARE-5 showed a marked decrease with age in 5 years relative to survival outcomes based on cancer registries of 27 European countries: 85.8% for patients 0-14 years of age and a decreased 62.2% and 52.8% for patients 15-19 and 20-39 years, respectively. There is growing evidence demonstrating that the pediatric ALL treatment regimen is effective and beneficial when treating AYAs. Treatment of ALL in AYAs around the world is showing improved remission rates with therapeutic advancements and increasing amount of data available with updated clinical trials and regimens. The addition of l-asparaginase into adult treatment regimens has significantly increased the remission rates. This administration to AYAs is more difficult but shows a positive benefit in comparison with the toxicity ratio. This review article will discuss the controversy of AYA patients diagnosed with ALL treated with pediatric or adult protocols and their perspectives in Poland and will focus on ALL etiology, epidemiology, and prognostic factors with comparison of compliance of medications between both populations of patients.",34232789,https://pubmed.ncbi.nlm.nih.gov/34232789/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,"Antineoplastic Agents, Immunoglobulin M, Asparaginase","Asparaginase is commonly used in combination therapy of acute lymphoblastic leukemia. However, as an immunogenic protein, hypersensitivity reactions (HSRs) during asparaginase therapy are frequent, indicating the development of anti-asparaginase antibodies. These can be associated with diminished clinical effectiveness, including poorer survival. Therapeutic drug monitoring of serum asparaginase activity to confirm complete asparagine depletion is therefore crucial during asparaginase therapy. Switching to alternative types of asparaginase is recommended for patients experiencing HSRs or silent inactivation; those with HSRs or silent inactivation on <i>Escherichia coli-</i>derived asparaginases should switch to another preparation. However, prior global shortages of <i>Erwinia</i> asparaginase highlight the importance of alternative non-<i>E.</i> <i>coli-</i>derived asparaginase, including recombinant <i>Erwinia</i> asparaginase.",35107320,https://pubmed.ncbi.nlm.nih.gov/35107320/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,Asparaginase,"Asparaginase, a critical component of current pediatric acute leukemia treatment protocols, is associated with a number of serious side effects, one of which is pancreatitis. Pancreatitis can result in significant morbidity and mortality from necrosis, pseudocyst formation, hemorrhage, systemic inflammation, intestinal perforation, and sepsis. Another rare complication of pancreatitis is posterior reversible encephalopathy syndrome, likely mediated by systemic inflammation secondary to pancreatic autodigestion and proinflammatory cytokine-mediated vascular endothelial damage. Here, we review this association in the literature and report 2 pediatric patients with leukemia who developed posterior reversible encephalopathy syndrome in the setting of asparaginase-associated pancreatitis.",34966101,https://pubmed.ncbi.nlm.nih.gov/34966101/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,Antineoplastic Agents,"Intensifying chemotherapy may reduce the incidence of recurrent disease in adult patients, but it has not come without a cost. Novel agents with selective T-ALL activity (e.g. nelarabine) may improve survival in some patient subsets. Due to modern genomic and transcriptomic techniques, various novel potential targets might change the treatment landscape in the next few years and will, hopefully alongside with cellular therapies, augment the therapeutic armamentarium in the near future.",35193450,https://pubmed.ncbi.nlm.nih.gov/35193450/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,Asparaginase,"Asparaginase is one of the most important chemotherapeutic agents against acute lymphoblastic leukemia, the most common form of blood cancer. To date, both asparaginases from E. coli and Dickeya dadantii (formerly known as Erwinia chrysanthemi), used in hematology, induce chemoresistance in cancer cells and side effects in the form of hypersensitivity of immune reactions. Leukemic cells may be resistant to asparaginase due to the increased activity of asparagine synthetase and other mechanisms associated with resistance to asparaginase. Therefore, the search for new sources of L-asparaginases with improved pharmacological properties remains a promising and prospective study. This article discusses the mechanisms of development of resistance and drug resistance to L-asparaginase, as well as possible ways to overcome them.",35485484,https://pubmed.ncbi.nlm.nih.gov/35485484/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,Antineoplastic Agents,"New paediatric acute lymphoblastic leukaemia (ALL) treatments have been developed and innovative products are in the pipeline. However, despite many active clinical trials, bridging bench science to clinical development to authorised medicines remains challenging. Research in first-line treatment continues to focus on multidrug chemotherapy with the potential addition of new targeted molecules being studied. Research in second- and third-line treatment represents a shift from cytotoxic intensification to an area of precision medicine through emergent innovative and immuno-oncology products. The collaborative research model in ALL involving different stakeholders should intensify to facilitate bench-to-bedside clinical translation for the benefit of patients.",35007767,https://pubmed.ncbi.nlm.nih.gov/35007767/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,"Antineoplastic Agents, Asparaginase","Acute lymphoblastic leukemia (ALL) is a malignancy of lymphoid progenitor cells occurring at an annual incidence rate of approximately 1.1 to 2.1 per 100,000 person-years globally. Approximately 40% of annual ALL cases occur in adults, yet estimated 5-year overall survival rates are about 40% to 50% in adults (and vary broadly by age) compared with 90% in children. Although the addition and/or intensification of asparaginase as a key treatment strategy for pediatric ALL is well recognized, further research is needed to clarify the benefit/risk ratio in adult patients with ALL. This review emphasizes the importance of efficient management of adverse events to increase asparaginase efficacy and explores novel strategies for optimizing asparaginase treatment, including new formulations of asparaginase, pharmacokinetic-based dosing, and pharmacogenetic profiling. Upcoming results of adult ALL trials should further clarify the role of asparaginase, building on the results of the large NOPHO 2008, CALGB 10403, GRAALL-2005, GMALL 07/2003, and UKALL14 trials.",35031177,https://pubmed.ncbi.nlm.nih.gov/35031177/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,"Immunologic Factors, Asparaginase, Methotrexate","Immunotherapy is a milestone in the treatment of poor-prognosis pediatric acute lymphoblastic leukemia (ALL) and is expected to improve treatment outcomes and reduce doses of conventional chemotherapy without compromising the effectiveness of the therapy. However, both chemotherapy and immunotherapy cause side effects, including neurological ones. Acute neurological complications occur in 3.6-11% of children treated for ALL. The most neurotoxical chemotherapeutics are L-asparaginase (L-ASP), methotrexate (MTX), vincristine (VCR), and nelarabine (Ara-G). Neurotoxicity associated with methotrexate (MTX-NT) occurs in 3-7% of children treated for ALL and is characterized by seizures, stroke-like symptoms, speech disturbances, and encephalopathy. Recent studies indicate that specific polymorphisms in genes related to neurogenesis may have a predisposition to MTX toxicity. One of the most common complications associated with CAR T-cell therapy is immune effector cell-associated neurotoxicity syndrome (ICANS). Mechanisms of neurotoxicity in CAR T-cell therapy are still unknown and may be due to disruption of the blood-brain barrier and the effects of elevated cytokine levels on the central nervous system (CNS). In this review, we present an analysis of the current knowledge on the mechanisms of neurotoxicity of standard chemotherapy and the targeted therapy in children with ALL.",35628334,https://pubmed.ncbi.nlm.nih.gov/35628334/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,"Antineoplastic Agents, Asparaginase","Acute lymphoblastic leukemia (ALL) is a neoplastic disease characterized by the malignant proliferation of lymphoid cells in the blood and bone marrow. It accounts for approximately 75% of childhood leukemia. Lymphoblastic lymphoma (LBL) is a type of non-Hodgkin's lymphoma characterized by rapid growth and highly aggressive characteristics that occurs most commonly in adolescents and young adults. Asparaginase is primarily used to treat patients with ALL or LBL. Because allergic reactions occur in patients treated with bacterial-derived asparaginase, it is important to develop an alternative asparaginase preparation for patients allergic to asparaginase. Recombinant asparaginase <i>Erwinia chrysanthemi</i>-rywn (JZP-458) is a recombinant <i>Erwinia</i> asparaginase that uses a novel <i>Pseudomonas fluorescens</i> expression platform in the production process. JZP-458 has the same amino acid sequence as <i>E. chrysanthemi</i>-derived asparaginase (ERW) and its in vitro activity is similar to that of ERW. JZP-458 is highly efficacious in patients allergic to asparaginase. Data from a phase I clinical trial indicated that following the intramuscular or intravenous administration of JZP-458 to volunteers, serum asparaginase activity ≥ 0.1 IU/mL was observed in 100% of the volunteers 72 hours after administration. In this review, we summarize the mechanism of action and the related research data obtained with JZP-458 for the treatment of ALL or LBL.",35670704,https://pubmed.ncbi.nlm.nih.gov/35670704/
0,Precursor Cell Lymphoblastic Leukemia-Lymphoma,2022,"Antibodies, Monoclonal, Humanized, Antineoplastic Agents, Inotuzumab Ozogamicin","Acute lymphoblastic leukemia (ALL) is an aggressive blood cancer that affects both children and adults. Although the majority of children diagnosed with ALL are now cured and outcomes are improving for younger adults, older adults diagnosed with ALL usually succumb to their disease. Traditional chemotherapy regimens are poorly tolerated and ineffective in most older adults. Recently, novel chemotherapy agents such as inotuzumab ozogamicin and venetoclax have been successfully combined with dose reduced chemotherapy (mini-hyper-CVD) with promising results. Further study is needed to define the optimal combination and sequencing of novel agents and chemotherapy for different patient populations. This review discusses the challenge of treating older adults with traditional chemotherapy, experience to date with novel agents in combination with mini-hyper-CVD, as well as future directions and unanswered questions.",34996739,https://pubmed.ncbi.nlm.nih.gov/34996739/
