,Disease,Year of Publication,Medication,Details,PMID,PubMed Link
0,"Carcinoma, Non-Small-Cell Lung",2017,"Antineoplastic Agents, B7-H1 Antigen, CD274 protein, human, Taxoids, Docetaxel","The current analysis of data indicates that the benefit from PD-1 inhibitors versus docetaxel in second line treatment of NSCLC is limited to the PD-L1>1% subpopulation. Moreover, a possible dose effect relationship between the intensity of PD-L1 staining and the potential benefit from PD-1/PD-L1 targeted agents does exist with higher intensity associated with higher ORR.",26969107,https://pubmed.ncbi.nlm.nih.gov/26969107/
0,"Carcinoma, Non-Small-Cell Lung",2018,"Antibodies, Monoclonal, Antibodies, Monoclonal, Humanized, Antineoplastic Agents, Programmed Cell Death 1 Receptor, Nivolumab, atezolizumab, pembrolizumab, EGFR protein, human, ErbB Receptors",Smoking history and EGFR status may help predict the performance of PD-(L)1 inhibitors vs docetaxel in previously treated NSCLC patients.,29115057,https://pubmed.ncbi.nlm.nih.gov/29115057/
0,"Carcinoma, Non-Small-Cell Lung",2018,"Organoplatinum Compounds, Protein Kinase Inhibitors, ErbB Receptors","Compared with the platinum-based doublets chemotherapy, EGFR-TKI significantly prolonged PFS, increased ORR, improved qol, not significantly increased the nonhematologic toxicity and at the same time decreased the nonhematologic toxicity but not significantly increased the transaminase toxicity for advanced NSCLC patients in East Asia. Although there is convincing evidence to confirm the results mentioned herein, they still need to be confirmed by large-sample trials.",29199672,https://pubmed.ncbi.nlm.nih.gov/29199672/
0,"Carcinoma, Non-Small-Cell Lung",2018,"Biomarkers, Tumor, Protein Kinase Inhibitors, EGFR protein, human, ErbB Receptors","Epidermal growth factor receptor (EGFR) gene copy number has been proposed as a candidate biomarker for predicting treatment response to EGFR tyrosine kinase inhibitors (EGFR-TKIs) in patients with advanced non-small-cell lung cancer (NSCLC). MEDLINE, PubMed, Cochrane, and Google Scholar databases were searched until October 21, 2015 using the following search terms: lung neoplasms/lung cancer/non-small cell lung cancer/NSCLC, EGFR, gene amplification, copy number, erlotinib, gefitinib, tyrosine-kinase inhibitor/TKI, predictor. 17 studies were included in the analysis with a total of 2047 patients. The overall analysis found that increased EGFR gene copy number was associated with higher overall response rate (ORR), overall survival (OS) and progression-free survival (PFS; p values ≤0.008) compared with patients without a high EGFR gene copy number. Subgroup analysis found that in a population of patients who were primarily Caucasian, a higher EGFR gene copy number was also associated with increased ORR, OS, and PFS (p values ≤0.018). The results were similar in a population of Asian patients, except that a higher EGFR gene copy number was not associated with improved OS (p=0.248). Sensitivity analysis indicated that no one study overly influenced the results and that the findings are robust. The result of the analysis found that EGFR gene copy number was associated with increased OS and PFS, supporting the idea that EGFR gene copy number is a biomarker for response to EGFR-TKI therapy in patients with advanced NSCLC.",27664271,https://pubmed.ncbi.nlm.nih.gov/27664271/
0,"Carcinoma, Non-Small-Cell Lung",2018,"Protein Kinase Inhibitors, ErbB Receptors","Currently, the overall incidence and risk of infections with epidermal growth factor receptor (EGFR)-tyrosine kinase inhibitors (TKIs) in non-small-cell lung cancer (NSCLC) patients remained undetermined. We searched Pubmed for related articles published from 1 January 1990 to 31 November 2015. Eligible studies included prospective randomized controlled trials (RCTs) evaluating therapy with or without EGFR-TKIs in patients with NSCLC. Data on infections were extracted. Pooled incidence, Peto odds ratio (Peto OR), and 95% confidence intervals (CIs) were calculated. A total of 17,420 patients from 25 RCTs were included. The use of EGFR-TKIs significantly increased the risk of developing all-grade infections (Peto OR 1.48, 95%CI: 1.12-1.96, p = 0.006) in NSCLC patients, but not for severe (Peto OR 1.26, 95%CI: 0.96-1.67, p = 0.098) and fatal infections (Peto OR 0.81, 95%CI: 0.43-1.53, p = 0.52). Meta-regression indicated the risk of infections tended to increase with the treatment duration of EGFR-TKIs. No publication of bias was detected. In conclusion, the use of EGFR-TKIs significantly increased the risk of developing all-grade infectious events in NSCLC patients, but not for severe and fatal infections. Clinicians should be aware of the risks of infections with the administration of these drugs in these patients.",28107192,https://pubmed.ncbi.nlm.nih.gov/28107192/
0,"Carcinoma, Non-Small-Cell Lung",2018,"Angiogenesis Inhibitors, Antineoplastic Agents, Vascular Endothelial Growth Factor A, Bevacizumab","We conducted a meta-analysis to evaluate the efficacy of adding any antiangiogenic therapy (AT) to the standard of care in advanced non-small-cell lung cancer (NSCLC). The electronic databases Ovid PubMed, Cochrane Central Register of Controlled Trials, and Embase were searched to identify eligible trials. We included all phase III randomized trials with any line and type of treatment, histology. and AT dose. Pooled hazard ratios (HRs) for overall survival (OS) and progression-free survival (PFS), and pooled odds ratio (OR) for overall response rates (RR) were calculated. We divided the population into 2 subgroups based on the bevacizumab dose. Data of 19,098 patients from 25 phase III trials were analyzed. Compared with the standard of care, the addition of AT did not prolong OS (HR 0.98; 95% confidence interval [CI], 0.96-1.00; P = .1 and HR 0.97; 95% CI, 0.94-1.00; P = .06 for groups 1 and 2, respectively). However, there was a significant improvement in PFS with the addition of AT (HR 0.85; 95% CI, 0.79-0.91; P < .00001 and HR 0.81; 95% CI, 0.75-0.88; P < .00001 for groups 1 and 2, respectively) and overall RR (OR 1.61; 95% CI, 1.30-2.01; P < .0001 and OR 1.72; 95% CI, 1.39-2.14; P < .00001 for groups 1 and 2, respectively). This is the first meta-analysis including only all phase III trials with AT in NSCLC showing no significant effect on OS and an improvement in PFS and RR only. The role of AT in advanced NSCLC is still questionable; strong validated biomarkers are eagerly needed to predict which subgroup might benefit the most from such therapy.",28188101,https://pubmed.ncbi.nlm.nih.gov/28188101/
0,"Carcinoma, Non-Small-Cell Lung",2018,"Drugs, Chinese Herbal, ErbB Receptors","Chinese herbal medicine (CHM) has been widely used in the treatment of advanced non-small-cell lung cancer (NSCLC), but their efficacy and safety remain controversial. We sought to comprehensively aggregate and evaluate the available evidence on the efficacy and safety of the combination treatment with CHM and epidermal growth factor receptor tyrosine kinase inhibitors (EGFR-TKIs) in NSCLC patients. Our exhausted and systematical searching strategy yielded 64 related randomized controlled trials involving 4384 patients. Compared with EGFR-TKIs therapy alone, meta-analysis showed significant differences favoring the combination treatment in progression-free survival ([Formula: see text]), median survival time ([Formula: see text]), one-year survival rate ([Formula: see text]), two-year survival rate ([Formula: see text]), probability of severe toxicities ([Formula: see text]), objective response rate ([Formula: see text]), Karnofsky performance status ([Formula: see text]), and improvement in percentage of CD3[Formula: see text] T lymphocyte ([Formula: see text]) and CD4[Formula: see text] T lymphocyte ([Formula: see text]). Though these results require further confirmation, they are prone to show a potential therapeutic value of CHM in improving the clinical effect, overcoming the drug resistance and toxicities as an adjunctive therapy to EGFR-TKIs.",30001642,https://pubmed.ncbi.nlm.nih.gov/30001642/
0,"Carcinoma, Non-Small-Cell Lung",2018,"Antineoplastic Agents, Mutant Proteins, Protein Kinase Inhibitors, EGFR protein, human, ErbB Receptors, Protein-Tyrosine Kinases","EGFR tyrosine kinase inhibitors (TKIs) such as erlotinib, gefitinib, and afatinib changed dramatically the history of metastatic non-small cell lung cancer (NSCLC) harbouring EGFR mutations. However, not enough data are available on the efficacy of these targeted drugs in elderly patients. The aim of this study is to analyse the available clinical data evaluating the efficacy of anti-EGFR therapies in elderly patients with advanced NSCLC carrying EGFR mutations. A literature-based meta-analysis of the results of randomized clinical trials was undertaken. Relevant publications from PubMed, the Cochrane Library, and abstracts from American Society of Clinical Oncology meetings were searched. Progression-free survival (PFS), as a measure of the efficacy of treatment, was the primary outcome investigated. The pooled analysis revealed an overall significant improvement in PFS (HR = 0.44, 95% CI 0.28-0.69; p = 0.0004) with the use of EGFR TKIs in EGFR-mutated NSCLC. The data stratification per age subgroups showed that EGFR TKIs were more effective in prolonging PFS in elderly patients, with HR 0.39 (p = 0.008), in comparison with young patients (HR = 0.48; p = 0.04). The results of this study suggest that EGFR TKIs have a significant effect in slowing down diseases progression in elderly patients with advanced NSCLC, therefore representing a valid therapeutic option in this age group.",28391544,https://pubmed.ncbi.nlm.nih.gov/28391544/
0,"Carcinoma, Non-Small-Cell Lung",2018,"Antineoplastic Agents, Biomarkers, Tumor, Protein Kinase Inhibitors, Pyrazoles, Pyridines, Crizotinib, ALK protein, human, Anaplastic Lymphoma Kinase, Receptor Protein-Tyrosine Kinases",First-line crizotinib may more effective than second-line crizotinib for patients with locally advanced or metastatic ALK-positive NSCLC.,27835601,https://pubmed.ncbi.nlm.nih.gov/27835601/
0,"Carcinoma, Non-Small-Cell Lung",2018,"Antibodies, Monoclonal, Antibodies, Monoclonal, Humanized, Antineoplastic Agents, B7-H1 Antigen, CD274 protein, human, Programmed Cell Death 1 Receptor, Nivolumab, atezolizumab, pembrolizumab",Anti-PD1/PD-L1 therapies are safe and effective treatment option in advanced non-small cell lung cancer and can be recommended selectively.,30113497,https://pubmed.ncbi.nlm.nih.gov/30113497/
0,"Carcinoma, Non-Small-Cell Lung",2018,"Antibodies, Monoclonal, Antibodies, Monoclonal, Humanized, Antineoplastic Agents, Costimulatory and Inhibitory T-Cell Receptors, Taxoids, Docetaxel, Nivolumab, atezolizumab, pembrolizumab","Immune-checkpoint inhibitors represent the new standard of care in patients with advanced NSCLC who progressed after first-line treatment. This work aim to assess any difference in both efficacy and safety profiles among Nivolumab, Pembrolizumab and Atezolizumab in pre-treated NSCLC patients. Randomized clinical trials comparing immune-checkpoint inhibitor versus docetaxel in pre-treated patients with advanced NSCLC were included and direct comparison meta-analysis of selected trials have been performed. Subsequently the summary estimates of Nivolumab, Pembrolizumab and Atezolizumab emerging from the direct meta-analysis were selected to provide the pooled estimates of hazard ratio (HR) and relative risk (RR) for the indirect comparisons among these agents. A total of 5 studies met the selection criteria and were included in the meta-analysis. Indirect comparisons for efficacy outcomes showed the RR for ORR nivolumab versus atezolizumab 1.66 (95% CI 1.07-2.58), pembrolizumab versus atezolizumab 1.94 (95% CI 1.30-2.90). No significant differences in both PFS and OS have been observed. Indirect comparisons for safety showed the RR for G3-5 AEs nivolumab versus pembrolizumab 0.41 (95% CI 0.29-0.60), nivolumab versus atezolizumab 0.50 (95% CI 0.35-0.72). No significant differences in both pneumonitis and discontinuation rate have been observed. The results of this work revealed that nivolumab and pembrolizumab are associated with a significant increase of ORR as compared to atezolizumab and nivolumab is associated with a significant lower incidence of G3-5 AEs as compared to the other drugs. These evidences could support the oncologists to select the best drug for each patient.",29080213,https://pubmed.ncbi.nlm.nih.gov/29080213/
0,"Carcinoma, Non-Small-Cell Lung",2019,"Carbazoles, Piperidines, Protein Kinase Inhibitors, Pyrimidines, Sulfones, Crizotinib, Aspartate Aminotransferases, Alanine Transaminase, ALK protein, human, Anaplastic Lymphoma Kinase, ceritinib, alectinib",The findings of the present study offer substantial evidence that ALK inhibitors treatment in advanced NSCLC significantly increases the risk of developing all-grade and high-grade liver toxicities in comparison with controls. Clinicians should recognize liver toxicities promptly as early interventions may alleviate future complications.,30608384,https://pubmed.ncbi.nlm.nih.gov/30608384/
0,"Carcinoma, Non-Small-Cell Lung",2019,"Antineoplastic Agents, Drug Combinations, Drugs, Chinese Herbal, fructus schizandrae, radix ginseng, radix ophiopogonis drug combination","SMI add-on therapy appeared to be more effective in improving quality of life and reducing chemotherapy-induced adverse effects. However, more well-designed RCTs are warranted to confirm the findings of this meta-analysis because of the suboptimal methodological quality of the included trials.",29594484,https://pubmed.ncbi.nlm.nih.gov/29594484/
0,"Carcinoma, Non-Small-Cell Lung",2020,"Antineoplastic Agents, BRAF protein, human, Proto-Oncogene Proteins B-raf, ras Proteins","Lung and colorectal cancer are included in the most tremendously threatening diseases in terms of incidence and death. Although they are located in completely different organs and differ in various characteristics they do share some common features, especially regarding their molecular mutational profile. Among several commonly mutated genes KRAS and BRAF are spotted to be highly associated with patient's poor disease outcome and resistance to targeted therapies mostly in liaison with other mutant activated genes. Many studies have shed light in these mechanisms for disease progression and numerous preclinical models, clinical trials and meta-analysis reports investigate the impact of specific treatments or combination of therapies. The present review is an effort to compare the mutational imprint of these genes between the two diseases and their impact in prognosis, current therapy, mechanisms of therapy resistance and future therapeutic plans and provide a spherical perspective regarding the systemic molecular profile of cancer.",31927392,https://pubmed.ncbi.nlm.nih.gov/31927392/
0,"Carcinoma, Non-Small-Cell Lung",2021,"B7-H1 Antigen, CD274 protein, human, Immune Checkpoint Inhibitors, Programmed Cell Death 1 Receptor","Efficacy of PD-1 and PDL-1 class of CPIs was not different, although differences among individual CPIs or their combinations cannot be excluded. We were also able to compute pooled efficacy data, as compared to chemotherapy alone, for trials where these groups of CPIs were utilized.",33040676,https://pubmed.ncbi.nlm.nih.gov/33040676/
0,"Carcinoma, Non-Small-Cell Lung",2021,B7-H1 Antigen,"This network meta-analysis (NMA), based on one phase II and nine phase III studies, involving 6,124 patients with metastatic NSCLC, indirectly compares Atezolizumab + Bevacizumab + chemotherapy (ABC), Atezolizumab + chemotherapy (AC), Pembrolizumab + chemotherapy (PC), Pembrolizumab alone, Bevacizumab + chemotherapy (BC) and chemotherapy alone. Each of these is recommended as front-line interventions, according to the US FDA and the European Medicines Agency (EMA) for advanced NSCLC without EGFR mutation or ALK rearrangement. Studies were identified through PubMed, EMBASE, the Cochrane Library, Medline, and abstracts found in oncology articles. Primary endpoints, i.e., progression-free survival (PFS) and overall survival (OS) with corresponding hazard ratios (HR), objective response rates (ORR) and adverse event (AEs) with odds risk (OR) were pooled according to frequentist network meta-analytical techniques. PD-L1 expression thresholds, as well as non-squamous/squamous were used to determine subgroups. Immunotherapy plus chemotherapy appeared superior to Pembrolizumab alone for PD-L1-high (i.e., TPS≥50%) NSCLC patients. BC might also be specifically recommended as an initial first-line treatment for PD-L1-high, non-squamous NSCLC patients, since BC was not inferior to Pembrolizumab alone. PC and ABC might be preferred for NSCLC patients with intermediate PD-L1 (1% ≤PD-L1, TPS<50%) expression. BC can also be tentatively recommended specifically for PD-L1-intermediate, non-squamous NSCLC patients. Combined immunotherapies can all be recommended for PD-L1-negative (i.e., TPS<1%) NSCLC patients, although especially the ABC combination for non-squamous NSCLC patients, which was superior to PC in regards of PFS. However, PC performed comparable to ABC in the whole population and in all subgroup save this one. More predictive biomarkers could be factored into further analyses to help identifying the most effective treatment regimens for specific patient groups.",32313723,https://pubmed.ncbi.nlm.nih.gov/32313723/
0,"Carcinoma, Non-Small-Cell Lung",2021,"B7-H1 Antigen, EGFR protein, human, ErbB Receptors",The result of this meta-analysis suggested that PD-L1 expression might be a predictive biomarker for EGFR-mutant non-small cell lung cancer treated with EGFR-TKIs.,33964931,https://pubmed.ncbi.nlm.nih.gov/33964931/
0,"Carcinoma, Non-Small-Cell Lung",2021,"Angiogenesis Inhibitors, Protein Kinase Inhibitors, EGFR protein, human, ErbB Receptors","As a first-line treatment for patients with EGFR-mutated advanced non-small cell lung cancer (NSCLC), first-generation EGFR-TKIs combined with chemotherapy or antiangiogenic therapy was associated with significant improvement in ORR, DCR, PFS and OS compared with monotherapy.",34119658,https://pubmed.ncbi.nlm.nih.gov/34119658/
0,"Carcinoma, Non-Small-Cell Lung",2021,Immune Checkpoint Inhibitors,"Combination therapy with immune checkpoint inhibitors showed more clinical benefit for patients with NSCLC, with increased grade 3 or higher AEs, but toxicities were manageable.",33798808,https://pubmed.ncbi.nlm.nih.gov/33798808/
0,"Carcinoma, Non-Small-Cell Lung",2021,Immune Checkpoint Inhibitors,"Sarcopenia, which is characterized by a decrease in muscle quantity or quality, is commonly observed in patients with cancer. Recent research has reported contradictory results on the association between sarcopenia and the efficacy of immune checkpoint inhibitors (ICIs). We conducted a systematic review and meta-analysis to investigate this discrepancy. We systematically searched three electronic databases to identify articles reporting on the association between sarcopenia and treatment outcomes in patients with solid cancers who received ICIs. The outcomes assessed were hazard ratios (HRs) for overall survival (OS) and progression-free survival (PFS), and odds ratios (ORs) for objective response rate (ORR), disease control rate (DCR), and toxicity. Pooled estimates and their 95% confidence intervals (CIs) were calculated. A total of 2501 patients from 26 studies were analysed. Sarcopenia was observed in 44.7% (95% CI: 38.2-51.3) of the patients and was significantly associated with poor survival (HR = 1.55, 95% CI = 1.32-1.82 for OS and HR = 1.61, 95% CI = 1.35 to 1.93 for PFS). The HRs (95% CIs) for OS according to the diagnostic measures used were 1.97 (0.88-4.41) for psoas muscle index (PMI), 1.41 (0.87-2.28) for skeletal muscle density (SMD), and 1.43 (1.23-1.67) for skeletal mass index (SMI). The HRs (95% CIs) for PFS were 1.86 (1.08-3.21) for PMI, 1.27 (0.94-1.71) for SMD, and 1.38 (1.11-1.71) for SMI. Poor radiological response to ICI therapy was observed in patients with sarcopenia (OR = 0.52, 95% CI = 0.34-0.80 for ORR and OR = 0.45, 95% CI = 0.30-0.67 for DCR). The ORs for ORR (95% CIs) were 0.56 (0.15-2.05) for PMI and 0.78 (0.56-1.09) for SMI. The oncologic outcomes associated with melanoma and non-small cell lung cancer (NSCLC) were comparable with those observed overall (HR for OS = 2.02, 95% CI = 1.26-3.24 for melanoma and HR for OS = 1.61, 95% CI = 1.19-2.18 for NSCLC). In contrast, the occurrence of severe toxicity was not associated with sarcopenia (OR = 1.13, 95% CI = 0.51-2.52). Poor survival and poor response in patients with sarcopenia indicate a negative association between sarcopenia and efficacy of ICIs. Sarcopenia's predictive ability is consistent across various tumour types. For the selection of patients who may respond to ICIs pre-therapeutically, the presence of sarcopenia should be assessed in clinical practice.",34337889,https://pubmed.ncbi.nlm.nih.gov/34337889/
0,"Carcinoma, Non-Small-Cell Lung",2021,"Immune Checkpoint Inhibitors, Protein Kinase Inhibitors, Anaplastic Lymphoma Kinase","Smoking status is an important clinical predictor of therapy in NSCLC. Never-smokers and smokers have similar benefit with EGFR-TKIs therapy compared with chemotherapy, while never-smokers have greater benefit after first-line EGFR-TKIs therapy. There was similar benefit in never-smokers and smokers when using ALK inhibitors over chemotherapy. Additionally, ICIs treatment over chemotherapy leads to more favourable PFS in smokers both in first-line and second-line settings.",33152129,https://pubmed.ncbi.nlm.nih.gov/33152129/
