,MeSH Term,Year of Publication,Medication,Details,PMID,PubMed Link
0,"Carcinoma, Hepatocellular",2022,Immune Checkpoint Inhibitors,"Systemic treatment for hepatocellular carcinoma (HCC) has been advancing rapidly over the last decade. More novel agents, including both targeted agents and immune checkpoint inhibitors, are available for physicians to use sequentially or concurrently for patients with advanced HCC. Despite more options, only a proportion of patients benefit from each regimen. Therefore, clinicians are facing challenges on how to choose the right regimen for the right patient with HCC, which raises the importance of personalized treatment approach. To advance personalized treatment for HCC, one approach relies on the acquisition of biomarker data from clinical trials to evaluate clinical parameters or genotypes in association with outcomes of selected drugs. This approach has led to finding of high baseline alpha-fetoprotein levels in association with benefits of ramucirumab. Cumulative findings from multiple clinical trials and translational studies also suggest that selected etiology and/or genotype of HCC could predict resistance to immune checkpoint inhibitors. The second approach is to decipher the tumor heterogeneity of HCC with an aim to identify clinically relevant patterns to guide clinical decisions. Tumor heterogeneity could exist within a single tumor (intra-tumoral heterogeneity), among different tumors in the same patient (inter-tumoral heterogeneity) or between primary and recurrent tumors (temporal tumor heterogeneity). The analyses of tumor heterogeneity have also been powered by coverage of tumor immune environment and incorporation of circulating tumor nucleic acid technology. Emerging publications have been reported above tumor heterogeneity exist in HCC, which is potentially clinically impactful.",35570200,https://pubmed.ncbi.nlm.nih.gov/35570200/
0,"Carcinoma, Hepatocellular",2022,"Antiviral Agents, Tenofovir","NUCs generally show remarkable safety in patients taking them for long periods. Nevertheless, renal and bone toxicity may occur in a minority of patients on TDF therapy. These effects have been overcome by the recent release of TAF. Moreover, the currently available data do not allow firm conclusions on the superiority of TDF on ETV about hepatocellular carcinoma (HCC) risk reduction. Observational studies involving more homogeneous cohorts are therefore needed; furthermore, long-term studies assessing the impact of TAF on this important topic are warranted.",35209776,https://pubmed.ncbi.nlm.nih.gov/35209776/
0,"Carcinoma, Hepatocellular",2022,"Immune Checkpoint Inhibitors, Immune Checkpoint Proteins","Hepatocellular carcinoma (HCC) is an inflammation-induced malignant disease of the liver. Abundant expression of immune checkpoint proteins has been reported in HCCs, which contribute to immune cell dysfunction and HCC progression. Immune checkpoint inhibitors as monotherapy or combination therapy have been approved by Food and Drug Administration for advanced HCCs. However, the median survival has not significantly improved, suggesting the need for exploring additional mechanisms to increase efficacy. Metabolic reprogramming is one of the mechanisms by which checkpoint proteins promote tumor growth and immune cell dysfunction. This review provides an insight into the role of immune checkpoint proteins on metabolic reprogramming in tumor and immune cells. An in-depth understating of these could help in the development of more efficacious and long-term therapies for HCC.",35526340,https://pubmed.ncbi.nlm.nih.gov/35526340/
0,"Carcinoma, Hepatocellular",2022,"Angiogenesis Inhibitors, Immune Checkpoint Inhibitors","Hepatocellular carcinoma (HCC) has been the fifth most common malignancy worldwide and is the second most common cause of tumor-related mortality globally. In China, a high proportion of patients with HCC present with an advanced stage of the disease, so HCC is a major challenge to the healthcare system and a substantial socioeconomic burden. The last decade has witnessed an expansion of the treatment landscape for HCC. Various approaches have been explored as potential conversion therapies for advanced HCC. Despite controversies, mounting data have indicated that successful conversion therapy followed by subsequent surgery is achievable in a population of patients with advanced HCC. This conversion therapy is a safe and promising treatment strategy to prolong long-term outcomes. Based on preliminary research, this review has assembled and summarized current clinical experience with and evidence of the efficacy of conversion therapies followed by subsequent surgery for advanced HCC.",35431288,https://pubmed.ncbi.nlm.nih.gov/35431288/
0,"Carcinoma, Hepatocellular",2022,Immune Checkpoint Inhibitors,"The ICIs was promising in HCC with good efficacy and tolerated toxicity. Compared with ICIs monotherapy, the joint application of ICIs and anti-VEGF agents can contribute a lot more benefits to the survival of patients according to clinical practices.",34297207,https://pubmed.ncbi.nlm.nih.gov/34297207/
0,"Carcinoma, Hepatocellular",2022,Antiviral Agents,"With the wide use of potent and safe nucloes(t-)ide analogues (NAs) treatment, patient-centered care is getting important. Intensive care for comorbidity has gain utmost importance in care of aging chronic hepatitis B (CHB) patients with life-long antiviral treatment. Linkage to care of patients with CHB is essential for the goal of hepatitis B virus (HBV) eradication. As long-term suppression of HBV DNA replication does not prevent hepatocellular carcinoma (HCC), prevention of HCC is another challenge for NAs treatment. There is a possibility of hepatocarcinogenesis in the immune-tolerant phase and risk of loss of patients during active monitoring seeking the time point for antiviral treatment initiation. Initiation of NAs treatment from the immune-tolerant phase would improve the linkage to care. However, universal recommendation is premature and evidence for cost-effectiveness needs to be accumulated. Early initiation of NAs in the evidence of significant disease progression, either HBV associated or comorbidity associated, would be a better strategy to reduce the risk of HCC in patients located in the gray zone.",35430754,https://pubmed.ncbi.nlm.nih.gov/35430754/
0,"Carcinoma, Hepatocellular",2022,Sorafenib,"The combination of atezolizumab and bevacizumab has become a new standard of care for initial systemic therapy in eligible patients, replacing sorafenib in the first line for many patients. Lenvatinib, a multikinase inhibitor, is also a new first line treatment option for patients who are not eligible for immunotherapy. Several additional options for second line treatment were also reviewed in detail in this paper. New systemic therapies for advanced HCC have prolonged overall survival. However, these new therapies are primarily approved for patients with Child-Pugh A classification with few options for patients with Child-Pugh B disease. Further work is needed to expand options for patients with more advanced liver disease and to optimize the sequencing of these new therapies.",35416635,https://pubmed.ncbi.nlm.nih.gov/35416635/
0,"Carcinoma, Hepatocellular",2022,"Antiviral Agents, Hepatitis B e Antigens","Chronic hepatitis B (CHB) is associated with significant morbidity and mortality, due to the adverse sequelae of cirrhosis and hepatocellular carcinoma (HCC). To date, antiviral therapy has been reserved for patients with ostensibly active liver disease, fibrosis or cirrhosis, and/or increased risk of HCC. Historically, patients with hepatitis B 'e' antigen (HBeAg)-positive chronic infection, were not offered antiviral therapy. Nevertheless, there has been compelling evidence emerging in recent years, demonstrating that this disease phase is in fact not characterized by immunological tolerance. HBV integration into the human genome is a frequent event found in these patients. Additionally, it may well be associated with active inflammation and fibrosis, even in the presence of persistently normal liver enzymes. Likewise, it appears that the mechanisms of hepatocarcinogenesis are already present during this early stage of the disease. This was reflected in the European Association for the Study of the Liver (EASL) guidelines, where treating patients above the age of 30 years with HBeAg-positive chronic infection was proposed. Lowering the treatment threshold to broaden treatment eligibility is likely to slow disease progression and reduce the risk of developing HCC. The current review discusses the reasons to consider early antiviral therapy in HBeAg-positive chronic infection.",35632642,https://pubmed.ncbi.nlm.nih.gov/35632642/
0,"Carcinoma, Hepatocellular",2022,"Antirheumatic Agents, Antiviral Agents","To date, an estimated 300 million people worldwide have been infected with chronic hepatitis B virus (HBV). Although anti-HBV therapies have improved the long-term survival profile of chronic carriers, viral reactivation still poses a significant challenge for preventing HBV-related hepatitis, hepatocellular carcinoma (HCC), and death. Immuno-modulating drugs, which are widely applied in managing rheumatic conditions, are commonly associated with HBV reactivation (HBVr) as a result of drug-induced immune suppression. However, there are few reports on the risk of HBVr and the medication management plan for HBV carriers, especially rheumatic patients. In this review, we summarize immuno-modulating drug-induced HBVr during rheumatoid therapy and its preventive strategies for HBVr-induced liver diseases, especially cirrhosis and HCC. These findings will assist with developing treatments for rheumatic patients, and prevent HBV-related cirrhosis and HCC.",35301112,https://pubmed.ncbi.nlm.nih.gov/35301112/
0,"Carcinoma, Hepatocellular",2022,Sorafenib,"HCC with PVTT is still a thorny problem, and effective therapeutics need to be explored.",34955380,https://pubmed.ncbi.nlm.nih.gov/34955380/
0,"Carcinoma, Hepatocellular",2022,Antiviral Agents,"Evidence on the risk of hepatocellular carcinoma (HCC) in patients with stage 3 liver fibrosis (F3) and SVR is scarce and continues to generate uncertainty. Furthermore, the distinction between F3 and F4 disease is complex. Consequently, the latest international guidelines recommend using the same screening protocol for HCC after SVR in both F3 and F4 patients. However, the risk of HCC in these groups is possibly different and maintaining screening for HCC in this population indefinitely generates an excessive burden for the health system. This editorial aims to review the available evidence on this topic.",35510319,https://pubmed.ncbi.nlm.nih.gov/35510319/
0,"Carcinoma, Hepatocellular",2022,Antiviral Agents,"In the 1970s, an unknown virus was suspected for documented cases of transfusion-associated hepatitis, a phenomenon called non-A, non-B hepatitis. In 1989, the infectious transmissible agent was identified and named hepatitis C virus (HCV) and, soon enough, the first diagnostic HCV antibody test was developed, which led to a dramatic decrease in new infections. Today, HCV infection remains a global health burden and a major cause of liver cirrhosis, hepatocellular carcinoma and liver transplantation. However, tremendous advances have been made over the decades, and HCV became the first curable, chronic viral infection. The introduction of direct antiviral agents revolutionized antiviral treatment, leading to viral eradication in more than 98% of all patients infected with HCV. This Perspective discusses the history of HCV research, which reads like a role model for successful translational research: starting from a clinical observation, specific therapeutic agents were developed, which finally were implemented in national and global elimination programmes.",35595834,https://pubmed.ncbi.nlm.nih.gov/35595834/
0,"Carcinoma, Hepatocellular",2022,"Antineoplastic Agents, Protein Kinase Inhibitors, Vascular Endothelial Growth Factor A, Sorafenib","Hepatocellular carcinoma remains a leading cause of cancer-related deaths worldwide. Liver disease including cirrhosis and viral hepatitis remains among the leading causes of hepatocellular carcinoma and despite increased screening, many patients are diagnosed in the advanced stages precluding them from locoregional therapy. Therapeutic agents for advanced hepatocellular carcinoma were limited to Sorafenib for several years; however, with the emergence of molecular targeted therapies including tyrosine kinase inhibitors and vascular endothelial growth factor inhibitors, in addition to immunotherapies, the way hepatocellular carcinoma is treated has changed significantly. In this review, we summarize the key clinical trials that lead to the approval of these agents for systemic treatment of hepatocellular carcinoma and discuss the preferred sequence of treatment options as well as prospective studies for management of hepatocellular carcinoma.",36135076,https://pubmed.ncbi.nlm.nih.gov/36135076/
0,"Carcinoma, Hepatocellular",2022,"B7-H1 Antigen, Immune Checkpoint Inhibitors","BTC is a rare and aggressive cancer disease, bearing an overall dismal prognosis with only finite therapy options. Only combination chemotherapy regimens achieve disease control, which is often only short-lived since the tumor tissue exhibits high resistance to chemotherapy. The emergence of immune checkpoint inhibitors in recent years has significantly improved the survival of cancer patients and thus, has been integrated into the therapeutic management of several solid tumors, including melanoma, colorectal carcinoma (CRC), hepatocellular carcinoma (HCC), triple- negative breast cancer (TNBC), and non-small-cell lung cancer (NSCLC). Investigation of the tumor biology of BTC and results of preliminary studies have shown that BTC may also be amenable to immunomodulation. In this review, we seek to give a comprehensive overview of the role, potential, and clinical significance of ICPI in the management of BTC.",35168521,https://pubmed.ncbi.nlm.nih.gov/35168521/
0,"Carcinoma, Hepatocellular",2022,Immune Checkpoint Inhibitors,"These results suggest that PFS could be potential surrogates for OS, especially PFS for patients who treated with ICI combination regimen.",34530205,https://pubmed.ncbi.nlm.nih.gov/34530205/
0,"Carcinoma, Hepatocellular",2022,Immune Checkpoint Inhibitors,"The analysis results reveal that ICI-combined anti-angiogenesis therapy has higher efficacy than either ICIs or anti-angiogenesis options for unresectable HCC, but it is necessary to manage the AEs.",36343054,https://pubmed.ncbi.nlm.nih.gov/36343054/
0,"Carcinoma, Hepatocellular",2022,"DNA, Viral, Cell-Free Nucleic Acids, DNA, Circular, Antiviral Agents, RNA, Biomarkers","Chronic HBV infection can hardly be cured due to the persistence of an intrahepatic pool of viral covalently closed circular DNA (cccDNA) transcription template, which is refractory to current antivirals. The direct analyses of cccDNA quantity and transcriptional activity require an invasive biopsy. Recently, circulating HBV RNA has been identified as a promising noninvasive surrogate marker of cccDNA and can be used for monitoring disease progression and predicting prognosis of patients with chronic HBV infection. To better understand this surrogate biomarker of cccDNA, we reviewed the current knowledge about the molecular characteristics and potential clinical applications of circulating HBV RNA. Specifically, we summarized the reported species and existing forms of circulating HBV RNA and discussed their biogenesis and the capacity of de novo infection by RNA virions. Moreover, we described the potential applications of circulating HBV RNA in different clinical scenarios, such as classifying the phases of chronic HBV infection, analyzing sustained on-treatment and off-treatment outcomes of treated patients, as well as predicting HCC development. Perspectives on future research of circulating HBV RNA were also proposed in this review.",35342969,https://pubmed.ncbi.nlm.nih.gov/35342969/
0,"Carcinoma, Hepatocellular",2022,"Immune Checkpoint Inhibitors, Immunologic Factors, Cytotoxins","For unresectable HCC, combined targeted drug and immunotherapy significantly improved survival compared with targeted monotherapy. However, the incidences of AEs of combinational therapy were higher than targeted monotherapy.",36271374,https://pubmed.ncbi.nlm.nih.gov/36271374/
0,"Carcinoma, Hepatocellular",2022,Immune Checkpoint Inhibitors,"Hepatocellular carcinoma is one of the most common cancers worldwide and represents a major global health-care challenge. Although viral hepatitis and alcohol remain important risk factors, non-alcoholic fatty liver disease is rapidly becoming a dominant cause of hepatocellular carcinoma. A broad range of treatment options are available for patients with hepatocellular carcinoma, including liver transplantation, surgical resection, percutaneous ablation, and radiation, as well as transarterial and systemic therapies. As such, clinical decision making requires a multidisciplinary team that longitudinally adapts the individual treatment strategy according to the patient's tumour stage, liver function, and performance status. With the approval of new first-line agents and second-line agents, as well as the establishment of immune checkpoint inhibitor-based therapies as standard of care, the treatment landscape of advanced hepatocellular carcinoma is more diversified than ever. Consequently, the outlook for patients with hepatocellular carcinoma has improved. However, the optimal sequencing of drugs remains to be defined, and predictive biomarkers are urgently needed to inform treatment selection. In this Seminar, we present an update on the causes, diagnosis, molecular classification, and treatment of hepatocellular carcinoma.",36084663,https://pubmed.ncbi.nlm.nih.gov/36084663/
0,"Carcinoma, Hepatocellular",2022,"Antibodies, Monoclonal, Immune Checkpoint Inhibitors, Immunologic Factors, Protein Kinase Inhibitors, Nivolumab","Primary liver cancer, mainly hepatocellular carcinoma (HCC), is the sixth most diagnosed cancer and third leading cause of cancer-related death globally. Recently, immunotherapies such as immune checkpoint inhibitors (ICIs) have made great progress in the systemic treatment of HCC. However, anti-PD-1 therapy with pembrolizumab or nivolumab as a single agent did not meet their predefined end points of overall survival in the KEYNOTE-240 and CheckMate 459 trials. It is urgent to understand the immunological rationale and explore novel ways to improve the efficacy of immunotherapy. The combination of ICIs with other therapies, such as tyrosine kinase inhibitors (TKIs), monoclonal antibodies, or local therapy, has been demonstrated to improve overall response rate and survival. In addition, modulating tumor microenvironment is a potential way to overcome the primary and secondary resistance to immunotherapies. In this review, we summarized the latest findings in the immune microenvironment, the mechanisms of their synergistic effects when combined with anti-VEGF agents or TKIs, as well as other kinds of immune treatment.",35977874,https://pubmed.ncbi.nlm.nih.gov/35977874/
0,"Carcinoma, Hepatocellular",2022,"B7-H1 Antigen, Biomarkers, Tumor, Immune Checkpoint Inhibitors",Multiple potential biomarkers for predicting ICI response of hepatobiliary malignancies have been explored and tried to apply in clinic. Yet there is no robust evidence to prove their clinical value in predicting immunotherapeutic response for patients with hepatobiliary malignancies. The identification of predictors for response to ICIs is an urgent need and major challenge. Further studies are warranted to validate the role of emerging biomarkers in predicting immunotherapeutic responses.,35973935,https://pubmed.ncbi.nlm.nih.gov/35973935/
0,"Carcinoma, Hepatocellular",2022,"Cytokines, Antiviral Agents","Hepatitis B virus (HBV) infection is still one of the most dangerous viral illnesses. HBV infects around 257 million individuals worldwide. Hepatitis B in many individuals ultimately develops hepatocellular carcinoma (HCC), which is the sixth most common cancer and the third leading cause of cancer-related deaths worldwide. The innate immunity acts as the first line of defense against HBV infection through activating antiviral genes. Along with the immune responses, pro-inflammatory cytokines are triggered to enhance the antiviral responses, but this may result in acute or chronic liver inflammation, especially when the clearance of virus is unsuccessful. To a degree, the host innate immune and inflammatory responses dominate the HBV infection and liver pathogenesis. Thus, it is crucial to figure out the signaling pathways involved in the activation of antiviral factors and inflammatory cytokines. Here, we review the interplay between HBV and the signal pathways that mediates innate immune responses and inflammation. In addition, we summarize current therapeutic strategies for HBV infection via modulating innate immunity or inflammation. Characterizing the mechanisms that underlie these HBV-host interplays might provide new approaches for the cure of chronic HBV infection.",36298831,https://pubmed.ncbi.nlm.nih.gov/36298831/
0,"Carcinoma, Hepatocellular",2022,"Sorafenib, Immune Checkpoint Inhibitors","Hepatocellular carcinoma (HCC) represents the most frequent type of primary liver tumor. Most HCC patients present with advanced disease at diagnosis and the recurrence rate after surgery remains high. Treatment options for advanced HCC are limited, with sorafenib representing the only systemic agent approved for treatment of advanced HCC in more than a decade. However, in recent years new molecular targeted therapies and immune checkpoint inhibitors (ICIs) have revolutionized the treatment of advanced HCC. In particular, combinations of ICIs with antiangiogenic drugs, or with other ICIs, represent one of the most promising strategies. Herein we provide a comprehensive overview of the main therapeutic advances in the systemic treatment of HCC, focusing on the most relevant ongoing clinical trials.",35997677,https://pubmed.ncbi.nlm.nih.gov/35997677/
0,"Carcinoma, Hepatocellular",2022,"Antineoplastic Agents, Phenylurea Compounds, Quinolines, Bevacizumab, Sorafenib, lenvatinib","To date, no studies have compared the new first-line atezolizumab+bevacizumab with transarterial therapies combined with the prior standard-of-care, sorafenib, in patients with advanced hepatocellular carcinoma (HCC). We compared and ranked all relevant transarterial and targeted treatments competing with atezolizumab+bevacizumab for such disease, based on direct and indirect evidence. This network meta-analysis was conducted as a systematic review of phase 2 and 3 randomized sorafenib-controlled trials investigating systemic treatment strategies for HCCs unsuitable for or that progressed after surgery or locoregional treatments as first-line option published between 2008 and 2021. We ranked the treatments based on overall survival (OS) as the primary outcome, together with progression-free survival (PFS) and grade 3-4 adverse events. Subgroup analyses were also implemented to estimate intervention efficacies in particular groups. We identified 3451 publications, 15 trials consisting of 7158 patients, using 14 different therapies including combinations of sorafenib with transarterial chemoembolization (TACE), hepatic arterial chemoinfusion, and radioembolization. Regarding OS, atezolizumab+bevacizumab was the only regimen significantly superior to sorafenib (hazard ratio 0.42; 95% confidence interval [CI] 0.25-0.70), and it ranked first. This combination was also the best in the PFS analysis (0.59; 0.47-0.74), followed by lenvatinib (0.66; 0.57-0.76) and TACE+sorafenib (0.73; 0.59-0.91); all had significantly better outcomes than sorafenib alone. TACE+sorafenib (0.52; 0.27-1.00) was ranked first based on OS in a subset with portal invasion, but not in the metastatic series, with atezolizumab+bevacizumab second (0.58; 0.38-0.89). Lenvatinib (odds ratio 1.76; 95% CI 1.35-2.30) and TACE+sorafenib (2.02; 1.23-3.32), but not atezolizumab+bevacizumab (1.38; 0.93-2.05), were significantly less safe than sorafenib monotherapy. Conclusion: Our results indicate that atezolizumab+bevacizumab is the best first-line clinically relevant systemic modality in advanced HCC. TACE+sorafenib may also be considered for the disease with portal invasion. (PROSPERO No. CRD42021250701).",35785525,https://pubmed.ncbi.nlm.nih.gov/35785525/
0,"Carcinoma, Hepatocellular",2022,Immune Checkpoint Inhibitors,"The advent of immunotherapy for patients with hepatocellular carcinoma (HCC) has changed the treatment landscape and conferred a survival benefit on patients with advanced HCC, who typically have a very poor prognosis. The most pronounced improvements in response, as documented by standardized response criteria based on CT or MRI, have been achieved when immunotherapy is combined with other systemic or locoregional therapies. Immune checkpoint inhibitor treatments result in unique patterns on CT and MRI that challenge the application of conventional response criteria such as RECIST, modified RECIST, and European Association for the Study of the Liver criteria. Thus, newer criteria have been developed to gauge therapy response or disease progression for patients receiving immunotherapy, including immune-related RECIST (iRECIST) and immune-modified RECIST (imRECIST), though these remain unvalidated. In this review, we describe the current landscape of immunotherapeutic agents used for HCC, summarize the results of published studies, review the pathobiologic mechanisms that provide a rationale for the use of these agents, and report on the status of response assessment for immunotherapy either alone or in combination with other treatment options. Finally, consensus statements are provided to inform radiologists about essential considerations in the era of a rapidly changing treatment paradigm for patients with HCC.",35506555,https://pubmed.ncbi.nlm.nih.gov/35506555/
