,MeSH Term,Year of Publication,Medication,Details,PMID,PubMed Link
0,Melanoma,2022,"Immune Checkpoint Inhibitors, Ipilimumab, Nivolumab, Proto-Oncogene Proteins B-raf","Increasing knowledge about the biology of melanoma and of immunology has led to the development and regulatory approval of the immune checkpoint inhibitors ipilimumab, nivolumab, and pembrolizumab, which are indicated for the treatment of melanoma irrespective of the B-Raf proto-oncogene mutation status of the tumour. Only a subset of patients will respond, but those who do can expect long-lasting, previously unheard-of responses. Long-term survival results for the registration trials, including CheckMate 067, Keynote-006, and Keynote-001, have recently been published. In particular, the combination of ipilimumab and nivolumab showed an impressive 5-year overall survival of just over 50%. However, toxicity remains a significant concern, with some of the side effects being life threatening and/or life changing. In this review, we discuss the safety and efficacy data of all the agents currently approved for the first-line treatment of advanced melanoma, identifying factors that influence the choice of a single agent rather than combination therapy. We highlight the potential biomarkers of response, effects of long-term toxicity, and options after progression.",35359259,https://pubmed.ncbi.nlm.nih.gov/35359259/
0,Melanoma,2022,"Protein Kinase Inhibitors, Proto-Oncogene Proteins B-raf, Mitogen-Activated Protein Kinase Kinases",Melanoma treatment has been revolutionized during the last decade. Currently first line therapeutic options for advanced melanoma include immunotherapy with anti-PD-1 antibodies (combination of PD-1 and CTLA-4 blockers should be an option in a selected group of patients) or targeted therapy with BRAF and MEK inhibitors in BRAF V600 mutated tumors. This review aims to summarize long-term survival data of immunotherapy in cutaneous melanoma and to show possible directions of development in combined oncological modalities.,35724388,https://pubmed.ncbi.nlm.nih.gov/35724388/
0,Melanoma,2022,Immune Checkpoint Inhibitors,"The purpose of this study is to review the efficacy of radiotherapy combined with immune checkpoint inhibitors (ICIs) in the treatment of melanoma and systematically evaluate the efficacy and safety of this combined treatment compared with ICIs alone. We searched a number of online databases up to 1 July 2021. Comprehensive Meta-Analysis 2.0 and RevMan 5.0 were used for summary analysis. The overall survival (OS), progression-free survival (PFS), overall response rate (ORR) and treatment adverse effects (AEs) were calculated. In total, 624 patients were included from 12 studies, including nine published studies and the results of three clinical trials. Radiotherapy combined with ICIs had a higher ORR compared with ICIs alone (35.00 vs. 20.39%). In terms of survival effect, radiotherapy combined with ICIs had no obvious advantage in OS. There was no statistically significant difference between 6-month and 12-month OS (P = 0.13; P = 0.69). There was no significant difference in PFS at 6 months (P = 0.08), but there was a significant difference in PFS at 12 months (P = 0.005). For patients with melanoma, radiotherapy combined with ICIs can improve the effective rate of treatment. Although there is no obvious OS advantage, it can improve PFS without serious adverse effects. Most of the studies included in this article are retrospective analyses, and there are few randomized controlled studies at present. Therefore, more prospective studies are still needed to explore the efficacy of radiotherapy combined with immunotherapy in melanoma.",35254329,https://pubmed.ncbi.nlm.nih.gov/35254329/
0,Melanoma,2022,"Poly(ADP-ribose) Polymerase Inhibitors, Protein Kinase Inhibitors","Targeted therapies against components of the mitogen-activated protein kinase (MAPK) pathway and immunotherapies, which block immune checkpoints, have shown important clinical benefits in melanoma patients. However, most patients develop resistance, with consequent disease relapse. Therefore, there is a need to identify novel therapeutic approaches for patients who are resistant or do not respond to the current targeted and immune therapies. Melanoma is characterized by homologous recombination (HR) and DNA damage response (DDR) gene mutations and by high replicative stress, which increase the endogenous DNA damage, leading to the activation of DDR. In this review, we will discuss the current experimental evidence on how DDR can be exploited therapeutically in melanoma. Specifically, we will focus on PARP, ATM, CHK1, WEE1 and ATR inhibitors, for which preclinical data as single agents, taking advantage of synthetic lethal interactions, and in combination with chemo-targeted-immunotherapy, have been growing in melanoma, encouraging the ongoing clinical trials. The overviewed data are suggestive of considering DDR inhibitors as a valid therapeutic approach, which may positively impact the future of melanoma treatment.",35563772,https://pubmed.ncbi.nlm.nih.gov/35563772/
0,Melanoma,2022,Immune Checkpoint Inhibitors,"Immune therapy has become the fourth approach after surgery, chemotherapy, and radiotherapy in cancer treatment. Many immune checkpoints were identified in the last decade since ipilimumab, which is the first immune checkpoint inhibitor to cytotoxic T-lymphocyte associated protein 4, had been approved by the US Food and Drug Administration (FDA) for the treatment of unresectable or metastatic melanoma in 2011. The use of several antibody drugs that target PD1/PD-L1 for various cancer treatments has been approved by the FDA. However, fewer people are benefitting from immune checkpoint inhibitor treatment in solid cancers. Approximately 80% of patients do not respond appropriately because of primary or acquired therapeutic resistance. Along with the characterization of more immune checkpoints, the combinatory treatment of multiimmune checkpoint inhibitors becomes a new option when monotherapy could not receive a good response. In this work, the author focuses on the combination therapy of multiple immune checkpoints (does not include targeted therapy of oncogenes or chemotherapy), introduces the current progression of multiple immune checkpoints and their related inhibitors, and discusses the advantages of combination therapy, as well as the risk of immune-related adverse events.",35377102,https://pubmed.ncbi.nlm.nih.gov/35377102/
0,Melanoma,2022,"Antineoplastic Agents, Phytochemicals, Luteolin","Cutaneous malignant melanoma is the fastest growing and the most aggressive form of skin cancer that is diagnosed. However, its incidence is relatively scarce compared to the highest mortality rate of all skin cancers. The much more common skin cancers include nonmelanoma malignant skin cancers. Moreover, over the past several decades, the frequency of all skin cancers has increased much more dynamically than that of almost any other type of cancer. Among the available therapeutic options for skin cancers, chemotherapy used immediately after the surgical intervention has been an essential element. Unfortunately, the main problem with conventional chemopreventive regimens involves the lack of response to treatment and the associated side effects. Hence, there is a need for much more effective anticancer drugs. Correspondingly, the targeted alternatives have involved phytochemicals, which are safer chemotherapeutic agents and exhibit competitive anticancer activity with high therapeutic efficacy. Among polyphenolic compounds, some flavonoids and their derivatives, which are mostly found in medicinal plants, have been demonstrated to influence the modulation of signaling pathways at each stage of the carcinogenesis process, which is also important in the context of skin cancers. Hence, this review focuses on an exhaustive overview of the therapeutic effects of luteolin and its derivatives in the treatment and prevention of skin cancers. The bioavailability and structure-activity relationships of luteolin derivatives are also discussed. This review is the first such complete account of all of the scientific reports concerning this particular group of natural compounds that target a specific area of neoplastic diseases.",35187675,https://pubmed.ncbi.nlm.nih.gov/35187675/
0,Melanoma,2022,Immune Checkpoint Inhibitors,"The introduction of effective systemic therapies has significantly changed the treatment of stage III and IV melanoma. Both immune checkpoint inhibitors and targeted therapies have improved recurrence-free survival in the adjuvant setting. Recent interest has sparked for neoadjuvant systemic therapy with immune checkpoint inhibitors. The intended benefit of pre-operative treatment with immunotherapy is amongst others to enable tailoring of the surgery and adjuvant systemic therapy according to the treatment response. Most importantly, recurrence-free survival might be improved by neoadjuvant systemic therapy over the current standard of care of surgery followed by adjuvant systemic therapy. The first phase I and II trials investigating anti-PD1 inhibitors, both as a single agent and in combination with anti-CTLA-4 inhibitors or other therapeutic agents, have shown promising results. Pathological complete response on neoadjuvant systemic therapy seems a valid surrogate endpoint for relapse-free and overall survival. Pathological complete response rates in these trials vary between 30 and 70%. The optimal dose with respect to efficacy and toxicity and the interval between systemic and surgical treatment remain important issues to address. Accumulating follow-up data and ongoing phase III studies must prove if neoadjuvant systemic therapy is superior to surgery followed by standard-of-care adjuvant therapy.",35397089,https://pubmed.ncbi.nlm.nih.gov/35397089/
0,Melanoma,2022,"Antineoplastic Agents, Ipilimumab, Nivolumab","Subgroup analysis evaluates a health intervention in subpopulations according to a characteristic or factor. It can be useful for generating new hypotheses or conducting new studies. However, subgroup analysis presents several limitations and it should be considered cautiously. The development of new onco-hematological drugs is accelerating in recent years and the impact of subgroup analysis on clinical decision-making is increasing. The interpretation of subgroup analyses can be controversial in some cases, negatively affecting patients and healthcare systems. This work is a review of the clinical and pharmacoeconomic impact of subgroup analysis in onco-hematological patients. The study describes some illustrative examples of inadequate interpretations about subset analysis: combination of pembrolizumab plus chemotherapy in lung cancer, inhibitors of cyclin-dependent kinases in breast cancer, daratumumab-based regimens in newly diagnosed multiple myeloma, combination of nivolumab with ipilimumab in melanoma and docetaxel in prostate cancer. Subgroup analysis can have a significant impact on the data selection for the development of studies; efficacy, safety, and convenience of treatments in onco-hematological patients; efficiency of therapies in health systems; and therapeutic positioning of antineoplastic drugs. There is a strong need to establish homogeneous criteria for the assessment of subgroup analysis and to develop new tools for its consideration.",35028720,https://pubmed.ncbi.nlm.nih.gov/35028720/
0,Melanoma,2022,"Antibodies, Monoclonal, Humanized, Benzimidazoles, Carbamates, Protein Kinase Inhibitors, Sulfonamides, binimetinib, encorafenib, pembrolizumab, BRAF protein, human, Proto-Oncogene Proteins B-raf","Despite the significant progress in the treatment of unresectable or metastatic <i>BRAF</i> V600-mutant melanoma, there remains two primary treatment options: targeted therapy and immunotherapy. Targeted therapy or immunotherapy alone is associated with efficacy limitations including efficacy limited to select patient subsets. With separate mechanisms of action and different response patterns, the combination of targeted agents and immunotherapy to treat patients with <i>BRAF</i> V600-mutant melanoma may further improve patient outcomes. Current treatment guidelines recommend treatment with targeted agents alone, immunotherapy, or the combination of targeted agents and immunotherapy. The randomized, double-blind STARBOARD trial aims to evaluate efficacy and safety of encorafenib, binimetinib and pembrolizumab in treatment-naive patients with metastatic or unresectable locally advanced <i>BRAF V600</i>-mutant melanoma in comparison to pembrolizumab.",35272485,https://pubmed.ncbi.nlm.nih.gov/35272485/
0,Melanoma,2022,Antineoplastic Agents,"Cutaneous melanoma is the main cause of death for skin cancer. The majority of patients with a diagnosis of melanoma have localized disease, which can be successfully treated with surgical treatment. However, the surgical approach is not curative for advanced melanoma (AM). Indeed, the management of AM is still challenging, since melanoma is the solid tumor with the highest number of mutations and cancer cells have the capacity to evade the immune system. In the past, the treatment of AM relied on chemotherapeutic agents, without showing efficacy data. Recent knowledge on melanoma pathogenesis as well as the introduction of immunotherapies, targeted therapies vaccines, small molecules, and combination therapies has revolutionized AM management, showing promising results in terms of effectiveness and safety. The aim of this review is to assess and to discuss the role of emerging therapies for AM management in order to obtain a complete overview of the currently available treatment options and future perspectives.",35742834,https://pubmed.ncbi.nlm.nih.gov/35742834/
0,Melanoma,2022,"Protein Kinase Inhibitors, BRAF protein, human, Proto-Oncogene Proteins B-raf","V-raf murine sarcoma viral oncogene homolog B1 (BRAF) inhibitors have emerged as a promising targeted therapy for malignancies with BRAF mutations, particularly metastatic melanoma. However, granulomatous reactions (GRs), including sarcoidosis and sarcoid-like reactions, have been reported as a consequence of BRAF inhibition. It is important to adequately characterize these GRs, including cutaneous manifestations and systemic involvement, in order to guide investigations and management. A literature review was conducted to characterize the spectrum of GRs associated with BRAF inhibitors, identifying 55 reactions affecting 51 patients, with 37 reactions limited to cutaneous involvement. Further, a possible correlation with cancer response, mechanisms of granuloma formation, and a proposed workup and management approach for these GRs are presented.",34715287,https://pubmed.ncbi.nlm.nih.gov/34715287/
0,Melanoma,2022,"Antibodies, Monoclonal, Humanized, Antineoplastic Agents, Immunological, Immune Checkpoint Inhibitors, pembrolizumab","Pembrolizumab therapy may cause the development of panuveitis, papillitis, and serous retinal detachment, symptoms which are able to be controlled with lengthy steroid therapy.",32243282,https://pubmed.ncbi.nlm.nih.gov/32243282/
0,Melanoma,2022,"Antineoplastic Agents, Immune Checkpoint Inhibitors","Brain metastases from melanoma are no longer uniformly associated with dismal outcomes. Impressive tumor tissue-based (craniotomy) translational research has consistently shown that distinct patient subgroups may have a favorable prognosis. This review provides a historical overview of the standard-of-care treatments until the early 2010s. It subsequently summarizes more recent advances in understanding the biology of melanoma brain metastases (MBMs) and treating patients with MBMs, mainly focusing upon prospective clinical trials of BRAF/MEK and PD-1/CTLA-4 inhibitors in patients with previously untreated MBMs. These additional systemic treatments have provided effective complementary treatment approaches and/or alternatives to radiation and craniotomy. The current role of radiation therapy, especially in conjunction with systemic therapies, is also discussed through the lens of various retrospective studies. The combined efficacy of systemic treatments with radiation has improved overall survival over the last 10 years and has sparked considerable research interest regarding optimal dosing and sequencing of radiation treatments with systemic treatments. Finally, the review describes ongoing clinical trials in patients with MBMs.",35534670,https://pubmed.ncbi.nlm.nih.gov/35534670/
0,Melanoma,2022,"Antineoplastic Agents, Immune Checkpoint Inhibitors","Treatment strategies for malignant melanoma have rapidly evolved over the past decade. Because of its propensity to develop advanced stage and metastatic disease, melanoma has contributed to the majority of mortalities among patients with skin cancer. The development of novel therapeutics such as immunotherapy and targeted molecular therapies has revolutionized the treatment of patients with advanced stage and metastatic malignant melanoma. Immune checkpoint inhibitors, BRAF/MEK inhibitors, and other revolutionary therapies have demonstrated remarkable success in the treatment of this common malignancy. Along with these advancements in systemic therapies, imaging has continued to play a critical role in the diagnosis and follow-up of patients with malignant melanoma. As the use of these novel therapies continues to expand, knowledge of the evolving therapeutic landscape of melanoma is becoming critical for radiologists. In this review, we provide a primer for radiologists outlining the evolution of immunotherapy and targeted therapy in the treatment of melanoma. We discuss the critical role of imaging in evaluation of treatment response, including a summary of current imaging response guidelines. Last, we summarize the essential role of imaging in the evaluation of potential adverse events seen in patients with malignant melanoma undergoing treatment with immune checkpoint inhibitors.",35675685,https://pubmed.ncbi.nlm.nih.gov/35675685/
0,Melanoma,2022,"Protein Kinase Inhibitors, Vemurafenib, EGFR protein, human, ErbB Receptors","Melanoma is considered one of the most aggressive skin cancers. It spreads and metastasizes quickly and is intrinsically resistant to most conventional chemotherapeutics, thereby presenting a challenge to researchers and clinicians searching for effective therapeutic strategies to treat patients with melanoma. The use of inhibitors of mutated serine/threonine-protein kinase B-RAF (BRAF), e.g., vemurafenib and dabrafenib, has revolutionized melanoma chemotherapy. Unfortunately, the response to these drugs lasts a limited time due to the development of acquired resistance. One of the proteins responsible for this process is epidermal growth factor receptor (EGFR). In this review, we summarize the role of EGFR signaling in the multidrug resistance of melanomas and discuss possible applications of EGFR inhibitors to overcome the development of drug resistance in melanoma cells during therapy.",35772580,https://pubmed.ncbi.nlm.nih.gov/35772580/
